av512m/500/1 : [22.20564, 9.14282, 22.88139]
tum_room2_512/750/1 : [7.98192, 3.34008, 5.88363]
tum_room2_512/750/2 : [5.54981, 3.28542, 4.86299]
tum_room2_512/750/3 : [5.07011, 5.07011]
tum_room2_512/1000/1 : [5.48914, 3.36552, 4.91998]
tum_room2_512/1000/2 : [5.36483, 2.60886, 3.30374, 4.88098]
tum_room2_512/1000/3 : [5.87407, 3.342, 5.02595]
tum_room2_512/1250/1 : [4.9455, 4.9455]
tum_room2_512/1250/2 : [4.92693, 4.92693]
tum_room2_512/1250/3 : [5.3459, 5.3459]
tum_room2_512/2500/1 : [4.94782, 4.94782]
tum_room2_512/2500/2 : [4.90386, 4.90386]
tum_room2_512/2500/3 : [4.86907, 4.86907]
tum_room2_512/5000/1 : [4.89313, 4.89313]
tum_room2_512/5000/2 : [4.89587, 4.89587]
tum_room2_512/5000/3 : [4.85337, 4.85337]
tum_room2_512/10000/1 : [4.81426, 4.81426]
tum_room2_512/10000/2 : [4.83988, 4.83988]
tum_room2_512/10000/3 : [4.84408, 4.84408]
tum_room3_512/500/1 : [97.63029, 3.24561, 101.30975]
tum_room3_512/500/2 : [3.84628, 3.19189, 3.84801]
tum_room3_512/500/3 : [18.75755, 3.24864, 11.33082]
tum_room3_512/750/1 : [15.75454, 3.17656, 8.8913]
tum_room3_512/750/2 : [8.29352, 3.09057, 5.58007]
tum_room3_512/750/3 : [4.12744, 3.11914, 4.10407]
tum_room3_512/1000/1 : [18.78858, 3.12667, 10.38661]
tum_room3_512/1000/2 : [88.18756, 3.14701, 124.88145]
tum_room3_512/1000/3 : [34.62741, 1.83191, 3.22925, 28.90657]
tum_room3_512/1250/1 : [21.60293, 3.14979, 11.60817]
tum_room3_512/1250/2 : [82.55574, 125.02492, 130.2063, 124.23059]
tum_room3_512/1250/3 : [71.8153, 72.61459, 2.22856, 3.18292, 74.31303]
tum_room3_512/2500/1 : [4.23189, 3.0447, 4.20504]
tum_room3_512/2500/2 : [4.04432, 3.10264, 4.12121]
tum_room3_512/2500/3 : [4.05956, 3.07827, 4.13528]
tum_room3_512/5000/1 : [4.0286, 3.11628, 4.10811]
tum_room3_512/5000/2 : [3.8673, 3.10662, 4.04371]
tum_room3_512/5000/3 : [4.06176, 3.04711, 4.07729]
tum_room3_512/10000/1 : [3.95249, 3.10244, 4.0618]
tum_room3_512/10000/2 : [3.99477, 3.99477]
tum_room3_512/10000/3 : [4.04147, 3.05132, 4.02009]
tum_room4_512/500/1 : [4.59595, 7.46908, 8.01594]
tum_room4_512/500/2 : [10.84515, 10.84515]
tum_room4_512/500/3 : [8.0019, 8.0019]
tum_room4_512/750/1 : [4.58374, 7.60531, 8.1328]
tum_room4_512/750/2 : [10.05361, 7.43397, 10.17097]
tum_room4_512/750/3 : [4.61879, 7.68174, 8.02637]
tum_room4_512/1000/1 : [4.52317, 7.79466, 8.05224]
tum_room4_512/1000/2 : [4.9759, 7.81764, 8.05732]
tum_room4_512/1000/3 : [8.02495, 8.02495]
tum_room4_512/1250/1 : [4.4013, 7.84053, 8.02684]
tum_room4_512/1250/2 : [7.98326, 7.98326]
tum_room4_512/1250/3 : [8.01388, 8.01388]
tum_room4_512/2500/1 : [4.63706, 7.87659, 8.01426]
tum_room4_512/2500/2 : [4.794, 7.79423, 7.94727]
tum_room4_512/2500/3 : [4.49524, 7.78756, 7.9787]
tum_room4_512/5000/1 : [4.8097, 7.8291, 7.95021]
tum_room4_512/5000/2 : [7.95521, 7.95521]
tum_room4_512/5000/3 : [10.00222, 7.8784, 9.70894]
tum_room4_512/10000/1 : [7.95696, 7.95696]
tum_room4_512/10000/2 : [7.95151, 7.95151]
tum_room4_512/10000/3 : [7.92576, 7.92576]
tum_room5_512/500/1 : [7.6921, 7.6921]
tum_room5_512/500/2 : [12.86509, 12.86509]
tum_room5_512/500/3 : [7.54451, 7.54451]
tum_room5_512/750/1 : [21.19997, 21.19997]
tum_room5_512/750/2 : [7.95987, 7.95987]
tum_room5_512/750/3 : [7.78116, 7.78116]
tum_room5_512/1000/1 : [7.9153, 7.9153]
tum_room5_512/1000/2 : [7.77936, 7.77936]
tum_room5_512/1000/3 : [9.70916, 9.70916]
tum_room5_512/1250/1 : [11.10472, 11.10472]
tum_room5_512/1250/2 : [67.48625, 67.48625]
tum_room5_512/1250/3 : [5.36438, 7.18619, 7.80997]
tum_room5_512/2500/1 : [23.50132, 23.50132]
tum_room5_512/2500/2 : [20.66039, 20.66039]
tum_room5_512/2500/3 : [10.58821, 10.58821]
tum_room5_512/5000/1 : [78.27726, 78.27726]
tum_room5_512/5000/2 : [7.20307, 7.20307]
tum_room5_512/5000/3 : [7.55924, 7.55924]
tum_room5_512/10000/1 : [7.45641, 7.45641]
tum_room5_512/10000/2 : [7.43764, 7.43764]
tum_room5_512/10000/3 : [7.50388, 7.50388]
tum_room6_512/500/1 : [7.81173, 7.81173]
tum_room6_512/500/2 : [7.60558, 7.60558]
tum_room6_512/500/3 : [7.56328, 7.56328]
tum_room6_512/750/1 : [7.98821, 7.98821]
tum_room6_512/750/2 : [7.60748, 7.60748]
tum_room6_512/750/3 : [7.60789, 7.60789]
tum_room6_512/1000/1 : [7.47499, 7.47499]
tum_room6_512/1000/2 : [6.52983, 5.90993, 7.53296]
tum_room6_512/1000/3 : [7.53926, 7.53926]
tum_room6_512/1250/1 : [7.5205, 7.5205]
tum_room6_512/1250/2 : [6.52679, 5.91985, 7.49666]
tum_room6_512/1250/3 : [6.47489, 5.96975, 7.54554]
tum_room6_512/2500/1 : [7.5178, 7.5178]
tum_room6_512/2500/2 : [7.4862, 7.4862]
tum_room6_512/2500/3 : [7.50932, 7.50932]
tum_room6_512/5000/1 : [7.53229, 7.53229]
tum_room6_512/5000/2 : [7.47996, 7.47996]
tum_room6_512/5000/3 : [7.52597, 7.52597]
tum_room6_512/10000/1 : [7.51497, 7.51497]
tum_room6_512/10000/2 : [7.50458, 7.50458]
tum_room6_512/10000/3 : [7.72247, 7.72247]
